,count
cell_1498,1.0
cell_1499,0.0
cell_1500,3.0
cell_1501,2.0
cell_1502,0.0
cell_1503,0.0
cell_1504,1.0
cell_1505,0.0
cell_1506,1.0
cell_1507,0.0
cell_1508,2.0
cell_1509,0.0
cell_1510,1.0
cell_1511,0.0
cell_1512,0.0
cell_1513,0.0
cell_1514,2.0
cell_1515,4.0
cell_1516,0.0
cell_1517,0.0
cell_1518,0.0
cell_1519,3.0
cell_1520,0.0
cell_1521,3.0
cell_1522,0.0
