,count
cell_355,0.0
cell_356,0.0
cell_357,0.0
cell_358,2.0
cell_359,0.0
cell_360,6.0
cell_361,1.0
cell_362,6.0
cell_363,3.0
cell_364,7.0
cell_365,4.0
cell_366,0.0
cell_367,0.0
cell_368,0.0
cell_369,0.0
cell_370,2.0
cell_371,0.0
cell_372,9.0
cell_373,0.0
cell_374,5.0
cell_375,4.0
cell_376,0.0
cell_377,2.0
cell_378,0.0
cell_379,0.0
cell_380,0.0
cell_381,0.0
cell_382,0.0
cell_383,0.0
cell_384,0.0
cell_385,0.0
cell_386,1.0
cell_387,2.0
cell_388,2.0
cell_389,9.0
cell_390,0.0
cell_391,0.0
cell_392,0.0
cell_393,0.0
cell_394,0.0
cell_395,0.0
cell_396,3.0
cell_397,2.0
cell_398,1.0
cell_399,0.0
cell_400,3.0
cell_401,2.0
cell_402,1.0
cell_403,0.0
cell_404,0.0
cell_405,0.0
cell_406,1.0
cell_407,0.0
cell_408,0.0
cell_409,3.0
cell_410,0.0
cell_411,4.0
cell_412,3.0
cell_413,5.0
cell_414,2.0
cell_415,0.0
cell_416,0.0
cell_417,1.0
cell_418,1.0
cell_419,4.0
cell_420,2.0
cell_421,4.0
cell_422,2.0
cell_423,0.0
cell_424,2.0
cell_425,0.0
cell_426,0.0
cell_427,3.0
cell_428,1.0
cell_429,0.0
cell_430,4.0
cell_431,0.0
cell_432,0.0
cell_433,0.0
cell_434,0.0
cell_435,0.0
cell_436,3.0
cell_437,0.0
cell_438,1.0
cell_439,4.0
cell_440,3.0
cell_441,3.0
cell_442,3.0
cell_443,4.0
cell_444,1.0
cell_445,0.0
cell_446,1.0
cell_447,2.0
cell_448,0.0
cell_449,0.0
cell_450,2.0
cell_451,2.0
cell_452,3.0
cell_453,1.0
cell_454,0.0
cell_455,1.0
cell_456,0.0
cell_457,4.0
cell_458,1.0
cell_459,0.0
cell_460,1.0
cell_461,0.0
cell_462,0.0
cell_463,0.0
cell_464,2.0
cell_465,0.0
cell_466,1.0
cell_467,1.0
cell_468,2.0
cell_469,0.0
cell_470,0.0
cell_471,1.0
cell_472,1.0
cell_473,4.0
cell_474,2.0
cell_475,0.0
cell_476,0.0
cell_477,6.0
cell_478,0.0
cell_479,0.0
cell_480,0.0
cell_481,0.0
cell_482,0.0
cell_483,0.0
cell_484,0.0
cell_485,0.0
cell_486,2.0
cell_487,0.0
cell_488,0.0
cell_489,2.0
cell_490,0.0
cell_491,0.0
cell_492,0.0
cell_493,0.0
cell_494,1.0
cell_495,0.0
cell_496,0.0
cell_497,1.0
cell_498,0.0
cell_499,0.0
cell_500,0.0
cell_501,1.0
cell_502,1.0
cell_503,1.0
cell_504,0.0
cell_505,0.0
cell_506,3.0
cell_507,2.0
cell_508,3.0
cell_509,0.0
cell_510,0.0
cell_511,0.0
cell_512,1.0
cell_513,5.0
cell_514,3.0
cell_515,2.0
cell_516,1.0
cell_517,1.0
cell_518,0.0
cell_519,1.0
cell_520,3.0
cell_521,2.0
cell_522,5.0
cell_523,0.0
cell_524,0.0
cell_525,4.0
cell_526,1.0
cell_527,3.0
cell_528,0.0
cell_529,0.0
cell_530,0.0
cell_531,0.0
cell_532,1.0
cell_533,2.0
cell_534,1.0
cell_535,0.0
cell_536,1.0
cell_537,0.0
cell_538,0.0
cell_539,5.0
cell_540,0.0
cell_541,1.0
cell_542,4.0
cell_543,1.0
cell_544,0.0
cell_545,0.0
cell_546,4.0
cell_547,1.0
cell_548,1.0
cell_549,2.0
cell_550,0.0
cell_551,3.0
cell_552,0.0
cell_553,2.0
cell_554,2.0
cell_555,0.0
cell_556,2.0
cell_557,0.0
cell_558,0.0
cell_559,1.0
cell_560,0.0
cell_561,1.0
cell_562,2.0
cell_563,0.0
cell_564,3.0
cell_565,0.0
cell_566,0.0
cell_567,3.0
cell_568,0.0
cell_569,0.0
cell_570,0.0
cell_571,1.0
cell_572,3.0
cell_573,0.0
cell_574,0.0
cell_575,4.0
cell_576,1.0
cell_577,0.0
cell_578,1.0
cell_579,0.0
cell_580,4.0
cell_581,0.0
cell_582,7.0
cell_583,0.0
cell_584,0.0
cell_585,3.0
cell_586,2.0
cell_587,6.0
cell_588,0.0
cell_589,2.0
cell_590,4.0
cell_591,1.0
cell_592,0.0
cell_593,2.0
cell_594,1.0
cell_595,0.0
cell_596,0.0
cell_597,0.0
cell_598,2.0
cell_599,0.0
cell_600,3.0
cell_601,2.0
cell_602,0.0
cell_603,0.0
cell_604,0.0
cell_605,3.0
cell_606,5.0
cell_607,2.0
cell_608,0.0
cell_609,1.0
cell_610,0.0
cell_611,2.0
cell_612,2.0
cell_613,0.0
cell_614,0.0
cell_615,0.0
cell_616,0.0
cell_617,0.0
cell_618,0.0
cell_619,0.0
cell_620,0.0
cell_621,0.0
cell_622,0.0
cell_623,1.0
cell_624,1.0
cell_625,0.0
cell_626,5.0
cell_627,0.0
cell_628,1.0
cell_629,1.0
cell_630,1.0
cell_631,4.0
cell_632,0.0
cell_633,3.0
cell_634,0.0
cell_635,4.0
cell_636,0.0
cell_637,0.0
cell_638,2.0
cell_639,0.0
cell_640,0.0
cell_641,0.0
cell_642,1.0
cell_643,0.0
cell_644,1.0
cell_645,0.0
cell_646,0.0
cell_647,0.0
cell_648,3.0
cell_649,1.0
cell_650,1.0
cell_651,0.0
cell_652,0.0
cell_653,0.0
cell_654,0.0
cell_655,1.0
cell_656,0.0
cell_657,1.0
cell_658,1.0
cell_659,0.0
cell_660,0.0
cell_661,3.0
cell_662,0.0
cell_663,2.0
cell_664,2.0
cell_665,6.0
cell_666,0.0
cell_667,1.0
cell_668,0.0
cell_669,3.0
cell_670,2.0
cell_671,1.0
cell_672,2.0
cell_673,0.0
cell_674,3.0
cell_675,3.0
cell_676,0.0
cell_677,0.0
cell_678,0.0
cell_679,0.0
cell_680,0.0
cell_681,0.0
cell_682,1.0
cell_683,0.0
cell_684,2.0
cell_685,4.0
cell_686,3.0
cell_687,0.0
cell_688,0.0
cell_689,2.0
cell_690,1.0
cell_691,2.0
cell_692,0.0
cell_693,0.0
cell_694,0.0
cell_695,1.0
cell_696,1.0
cell_697,3.0
cell_698,4.0
cell_699,2.0
cell_700,0.0
cell_701,4.0
cell_702,0.0
cell_703,1.0
cell_704,0.0
cell_705,5.0
cell_706,0.0
cell_707,0.0
cell_708,0.0
cell_709,0.0
cell_710,0.0
cell_711,4.0
cell_712,0.0
cell_713,5.0
cell_714,0.0
cell_715,3.0
cell_716,2.0
cell_717,0.0
cell_718,0.0
cell_719,1.0
cell_720,0.0
cell_721,4.0
cell_722,2.0
cell_723,0.0
cell_724,4.0
cell_725,0.0
cell_726,0.0
cell_727,0.0
cell_728,0.0
cell_729,0.0
cell_730,0.0
cell_731,0.0
cell_732,1.0
cell_733,0.0
cell_734,0.0
cell_735,1.0
cell_736,0.0
cell_737,0.0
cell_738,1.0
cell_739,3.0
cell_740,0.0
cell_741,0.0
cell_742,4.0
cell_743,1.0
cell_744,1.0
cell_745,0.0
cell_746,0.0
cell_747,1.0
cell_748,1.0
cell_749,0.0
cell_750,0.0
cell_751,0.0
cell_752,4.0
cell_753,3.0
cell_754,2.0
cell_755,0.0
cell_756,0.0
cell_757,0.0
cell_758,0.0
cell_759,0.0
cell_760,0.0
cell_761,2.0
cell_762,0.0
cell_763,0.0
cell_764,2.0
cell_765,0.0
cell_766,0.0
cell_767,0.0
cell_768,0.0
cell_769,0.0
cell_770,1.0
cell_771,0.0
cell_772,0.0
cell_773,0.0
cell_774,1.0
cell_775,0.0
cell_776,1.0
cell_777,0.0
cell_778,7.0
cell_779,0.0
cell_780,3.0
cell_781,0.0
cell_782,2.0
cell_783,2.0
cell_784,0.0
cell_785,2.0
cell_786,0.0
cell_787,4.0
cell_788,0.0
cell_789,0.0
cell_790,7.0
cell_791,0.0
cell_792,2.0
cell_793,1.0
cell_794,1.0
cell_795,3.0
cell_796,0.0
cell_797,0.0
cell_798,1.0
cell_799,0.0
cell_800,0.0
cell_801,2.0
cell_802,1.0
cell_803,4.0
cell_804,0.0
cell_805,0.0
cell_806,1.0
cell_807,1.0
cell_808,4.0
cell_809,1.0
cell_810,0.0
cell_811,0.0
cell_812,0.0
cell_813,10.0
cell_814,0.0
cell_815,0.0
cell_816,1.0
cell_817,0.0
cell_818,0.0
cell_819,0.0
cell_820,3.0
cell_821,0.0
cell_822,2.0
cell_823,0.0
cell_824,4.0
cell_825,0.0
cell_826,0.0
cell_827,0.0
cell_828,0.0
cell_829,0.0
cell_830,3.0
cell_831,5.0
cell_832,1.0
cell_833,5.0
cell_834,1.0
cell_835,1.0
cell_836,0.0
cell_837,0.0
cell_838,0.0
cell_839,1.0
cell_840,0.0
cell_841,0.0
cell_842,0.0
cell_843,0.0
cell_844,0.0
cell_845,0.0
cell_846,0.0
cell_847,0.0
cell_848,3.0
cell_849,0.0
cell_850,0.0
cell_851,0.0
cell_852,0.0
cell_853,0.0
cell_854,0.0
cell_855,0.0
cell_856,0.0
cell_857,0.0
cell_858,2.0
cell_859,1.0
cell_860,0.0
cell_861,0.0
cell_862,0.0
cell_863,0.0
cell_864,0.0
cell_865,2.0
cell_866,1.0
cell_867,0.0
cell_868,1.0
cell_869,2.0
cell_870,1.0
cell_871,0.0
cell_872,0.0
cell_873,0.0
cell_874,4.0
cell_875,2.0
cell_876,2.0
cell_877,2.0
cell_878,0.0
cell_879,1.0
cell_880,0.0
cell_881,3.0
cell_882,2.0
cell_883,0.0
cell_884,3.0
cell_885,0.0
cell_886,0.0
cell_887,0.0
cell_888,2.0
cell_889,0.0
cell_890,0.0
cell_891,0.0
cell_892,4.0
cell_893,0.0
cell_894,0.0
cell_895,0.0
cell_896,0.0
cell_897,0.0
cell_898,3.0
cell_899,1.0
cell_900,3.0
cell_901,8.0
cell_902,0.0
cell_903,5.0
cell_904,1.0
cell_905,2.0
cell_906,0.0
cell_907,3.0
cell_908,1.0
cell_909,0.0
cell_910,0.0
cell_911,0.0
cell_912,4.0
cell_913,2.0
cell_914,5.0
cell_915,0.0
cell_916,0.0
cell_917,2.0
cell_918,0.0
cell_919,1.0
cell_920,4.0
cell_921,3.0
cell_922,3.0
cell_923,1.0
cell_924,2.0
cell_925,3.0
cell_926,0.0
cell_927,1.0
cell_928,0.0
cell_929,0.0
cell_930,0.0
cell_931,3.0
cell_932,0.0
cell_933,0.0
cell_934,0.0
cell_935,0.0
cell_936,3.0
cell_937,0.0
cell_938,2.0
cell_939,1.0
cell_940,4.0
cell_941,3.0
cell_942,4.0
cell_943,1.0
cell_944,0.0
cell_945,0.0
cell_946,0.0
cell_947,3.0
cell_948,0.0
cell_949,1.0
cell_950,0.0
cell_951,2.0
cell_952,0.0
cell_953,0.0
cell_954,0.0
cell_955,5.0
cell_956,1.0
cell_957,2.0
cell_958,0.0
cell_959,2.0
cell_960,6.0
cell_961,0.0
cell_962,1.0
cell_963,0.0
cell_964,0.0
cell_965,3.0
cell_966,2.0
cell_967,2.0
cell_968,0.0
cell_969,0.0
cell_970,0.0
cell_971,0.0
cell_972,3.0
cell_973,0.0
cell_974,2.0
cell_975,0.0
cell_976,3.0
cell_977,3.0
cell_978,0.0
cell_979,2.0
cell_980,0.0
cell_981,0.0
cell_982,8.0
cell_983,0.0
cell_984,0.0
cell_985,4.0
cell_986,1.0
cell_987,5.0
cell_988,0.0
cell_989,0.0
cell_990,5.0
cell_991,0.0
cell_992,2.0
cell_993,9.0
cell_994,2.0
cell_995,1.0
cell_996,3.0
cell_997,1.0
cell_998,0.0
cell_999,0.0
cell_1000,0.0
cell_1001,2.0
cell_1002,0.0
cell_1003,0.0
cell_1004,0.0
cell_1005,3.0
cell_1006,0.0
cell_1007,1.0
cell_1008,0.0
cell_1009,0.0
cell_1010,0.0
cell_1011,1.0
cell_1012,0.0
cell_1013,4.0
cell_1014,1.0
cell_1015,2.0
cell_1016,2.0
cell_1017,2.0
cell_1018,0.0
cell_1019,2.0
cell_1020,0.0
cell_1021,0.0
cell_1022,2.0
cell_1023,0.0
cell_1024,0.0
cell_1025,1.0
cell_1026,4.0
cell_1027,4.0
cell_1028,3.0
cell_1029,0.0
cell_1030,0.0
cell_1031,0.0
cell_1032,1.0
cell_1033,0.0
cell_1034,0.0
cell_1035,1.0
cell_1036,0.0
cell_1037,7.0
cell_1038,0.0
cell_1039,0.0
cell_1040,0.0
cell_1041,0.0
cell_1042,1.0
cell_1043,0.0
cell_1044,0.0
cell_1045,0.0
cell_1046,0.0
cell_1047,4.0
cell_1048,0.0
cell_1049,0.0
cell_1050,0.0
cell_1051,0.0
cell_1052,2.0
cell_1053,0.0
cell_1054,0.0
cell_1055,3.0
cell_1056,0.0
cell_1057,0.0
cell_1058,3.0
cell_1059,3.0
cell_1060,1.0
cell_1061,11.0
cell_1062,2.0
cell_1063,0.0
cell_1064,5.0
cell_1065,7.0
cell_1066,3.0
cell_1067,3.0
cell_1068,1.0
cell_1069,0.0
cell_1070,0.0
cell_1071,0.0
cell_1072,0.0
cell_1073,0.0
cell_1074,1.0
cell_1075,0.0
cell_1076,1.0
