,sc_id,spot,exp_cor_before,interface_cor_before,mix_cor_before,exp_cor_after,interface_cor_after,mix_cor_after,celltype
0,cell_1078,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,ExcitatoryL5
1,cell_703,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,ExcitatoryL6
2,cell_62,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,ExcitatoryL6
3,cell_824,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,ExcitatoryL6
4,cell_264,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,Olig
5,cell_390,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,Olig
6,cell_635,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,ExcitatoryL5
7,cell_960,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,ExcitatoryL5
8,cell_45,spot_8,0.9727401123898619,0.9112124943051044,0.9665873505813862,0.9824610014212861,0.9273121706411483,0.9115229593680952,ExcitatoryL5
9,cell_1277,spot_120,0.9904532518297323,0.8865451350965157,0.9800624401564106,0.9862298344536335,0.7288568024429775,0.960492531252568,ExcitatoryL6
10,cell_263,spot_120,0.9904532518297323,0.8865451350965157,0.9800624401564106,0.9862298344536335,0.7288568024429775,0.960492531252568,ExcitatoryL6
11,cell_1073,spot_120,0.9904532518297323,0.8865451350965157,0.9800624401564106,0.9862298344536335,0.7288568024429775,0.960492531252568,ExcitatoryL6
12,cell_1027,spot_120,0.9904532518297323,0.8865451350965157,0.9800624401564106,0.9862298344536335,0.7288568024429775,0.960492531252568,ExcitatoryL6
